factor,level,runtime_median,runtime_mean,memory_mean_mb,rmse_mean
graph_density,0.1,0.6219917610005723,0.787095122000513,184.63151041666663,0.0576836561879842
graph_density,0.3,0.6196872640002766,0.7906344100001661,184.67317708333331,0.0567987213558789
graph_density,0.5,0.6181828740000128,0.7857311773332185,184.11197916666663,0.0550805774827371
max_delay,2.0,0.622587109000051,0.7886213406663956,184.63151041666663,0.0554092051533763
max_delay,6.0,0.6295978260004631,0.7904984480001076,184.63151041666663,0.0575310945027621
max_delay,10.0,0.6238362220001363,0.8097656113335082,184.02864583333331,0.0532655852253695
n_nodes,6.0,0.4742668729995785,0.5952044199996939,179.46484375,0.0582485453068475
n_nodes,12.0,0.9277324189997672,1.1976033763333664,181.36197916666663,0.0556256230453035
n_nodes,24.0,1.8383355949999896,2.330870694333195,184.46484375,0.0520475832089226
n_time,80.0,0.5576948919997449,0.486386403000021,182.66145833333331,0.070742823699111
n_time,160.0,0.6218772840002202,0.7995103290001376,183.65364583333331,0.0575310945027621
n_time,320.0,1.2276038670006528,1.5943816573335423,184.02864583333331,0.0608326324572378
