kind,method,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
abrupt_intervention,Arrival interpolation,rmse,20,0.123138629393075,0.1019801374983644,0.0791866141021711,0.0614110638991265,0.1551550908099679,0.0838528401086471,0.1689491426231447
abrupt_intervention,Arrival interpolation,mae,20,0.036563078802981,0.0203426168190542,0.0302738442855355,0.0239763452328068,0.0454220289550716,0.0287537497992278,0.0458517053476631
abrupt_intervention,Arrival interpolation,r2,20,-22.11356832163361,35.11741513771525,-4.53578472684772,-21.51524634946569,-2.394452492063019,-38.67593425227393,-9.242636999321917
abrupt_intervention,Arrival interpolation,runtime_seconds,20,0.01620723824999,0.0069813251836587,0.014962384499995,0.0109501420001834,0.0174790007501997,0.0134598432750453,0.0193918042423956
abrupt_intervention,Delay-aware state-space (internal),rmse,20,0.0672168050740204,0.0492352161737267,0.0523202916161556,0.0391146839502883,0.0703784599292527,0.0488389621005208,0.0892856779085292
abrupt_intervention,Delay-aware state-space (internal),mae,20,0.0369573332455153,0.0198609954130139,0.0292327257783036,0.0262080651553256,0.0411109550461824,0.0295267044532991,0.0459769367617211
abrupt_intervention,Delay-aware state-space (internal),r2,20,-5.311931416660475,9.753853790738123,-1.3775222713602395,-4.031184365286821,-0.4335108921134787,-9.992023807833494,-1.8357896730187508
abrupt_intervention,Delay-aware state-space (internal),runtime_seconds,20,0.0457474193000962,0.0177013154447603,0.0502244945000711,0.0303897885003152,0.05537250999987,0.0382878354764181,0.053282663926401
abrupt_intervention,Kalman/RTS smoother (internal),rmse,20,0.0691429633658889,0.0415781683622819,0.0537065221776957,0.0389492179804528,0.0820488997655755,0.0530729421002571,0.0872875483182381
abrupt_intervention,Kalman/RTS smoother (internal),mae,20,0.0400231091260021,0.0187264936897355,0.0322037577058926,0.0290572973655221,0.0443769618746326,0.0330020668071153,0.0483985778211005
abrupt_intervention,Kalman/RTS smoother (internal),r2,20,-4.978579921380553,7.233845571341279,-2.046456123676263,-5.8129066375838585,-0.4207265957726093,-8.282966004988392,-2.292701158487473
abrupt_intervention,Kalman/RTS smoother (internal),runtime_seconds,20,0.0258627878500192,0.0117021086819191,0.0242661820007015,0.0173449794999669,0.0345641882499876,0.0210011212450979,0.030836728525029
abrupt_intervention,No-delay ablation,rmse,20,0.051142334725869,0.0212384619422517,0.0466458752334065,0.0366169325086186,0.0601824903628379,0.0426752229016384,0.0607505624665414
abrupt_intervention,No-delay ablation,mae,20,0.0344946023058723,0.0114683254191478,0.0310200011156983,0.0276103024811869,0.039250836121675,0.0299894222764267,0.0397576063034341
abrupt_intervention,No-delay ablation,r2,20,-1.851056126803824,2.448837264425161,-1.1280597977105105,-2.5166836243517565,-0.1535116565262738,-3.00711008186078,-0.9005053329275949
abrupt_intervention,No-delay ablation,runtime_seconds,20,6.922642454850029,1.589658461073708,7.215983640499871,6.078565323500015,8.136166996250495,6.226080704518762,7.580655075830148
