graph_type,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
dense,graph_support_precision,20,0.403695760938408,0.0891595837811861,0.3819444444444444,0.3458333333333333,0.4628205128205128,0.3664827500930442,0.4415593206834016
dense,graph_support_recall,20,0.2519230769230769,0.0677472633014307,0.25,0.2211538461538461,0.2692307692307692,0.2230769230769231,0.2807692307692307
dense,graph_support_f1,20,0.3079270346955956,0.0723336479730028,0.3043478260869565,0.256627783669141,0.3482028241335045,0.2777098831370381,0.3388701401163546
dense,graph_auroc,20,0.4631410256410257,0.0566434497293869,0.4647435897435897,0.430448717948718,0.5016025641025641,0.4386538461538461,0.4876610576923076
dense,graph_auprc,20,0.4777472229832168,0.0412552382606551,0.4795084203358495,0.4408922713786967,0.4976539752982061,0.4611542004958109,0.4957830407792936
dense,graph_normalized_frobenius,20,0.9850796064665598,0.0242454180497614,0.9841550678919542,0.968420070205988,1.0028108719588156,0.9749347488173064,0.9951859171998412
dense,graph_structural_hamming,20,29.2,3.0017538732863285,29.5,27.0,31.0,27.95,30.5
dense,graph_edge_weight_r,20,-0.1189394369538004,0.1150870295660303,-0.0984557053360195,-0.2347858117595113,-0.0299447138026046,-0.167002722786962,-0.0700568856178094
dense,rmse,20,0.066784335242073,0.012376156918591,0.0633019646317147,0.0571968853332954,0.0705174720032151,0.0618119043373863,0.0721968301598813
dense,runtime_seconds,20,7.036551914550023,1.9498070501000628,7.433741901000076,6.453638070500006,8.323732492999852,6.137038124806341,7.790381415181297
sparse,graph_support_precision,20,0.2626788525801683,0.0738212127693834,0.2638888888888889,0.2105263157894736,0.3177083333333333,0.2301081108219266,0.2938100399235267
sparse,graph_support_recall,20,0.3035714285714285,0.0893796498343514,0.2857142857142857,0.2678571428571428,0.3571428571428571,0.2642857142857143,0.3428571428571428
sparse,graph_support_f1,20,0.2800317738755872,0.0775706523443546,0.291005291005291,0.2395104895104895,0.3362068965517241,0.2456165982147219,0.3129594622484137
sparse,graph_auroc,20,0.5132227891156462,0.0537798608063218,0.5127551020408163,0.4800170068027211,0.5616496598639455,0.4891135204081632,0.5359693877551021
sparse,graph_auprc,20,0.2981839896583096,0.0365330054393433,0.2915378651460584,0.2701455582232893,0.3264750417710944,0.2836178901039928,0.3146907456701243
sparse,graph_normalized_frobenius,20,0.9856138152820748,0.039315673123275,0.9790941939276424,0.9571225728699586,1.0037638738399006,0.9695312038898318,1.0030677679940383
sparse,graph_structural_hamming,20,21.8,2.8580449703655084,21.0,19.0,24.25,20.6,23.05
sparse,graph_edge_weight_r,20,0.0438223351506474,0.0908385884759077,0.0445443301971109,-0.0221031730269641,0.1104083174729373,0.0062196717734907,0.0835878207561703
sparse,rmse,20,0.0686500018951374,0.0129549647648323,0.0654541341338109,0.0587332305321127,0.0723495998230149,0.0635183967638434,0.0744261077494281
sparse,runtime_seconds,20,6.787671474549984,1.295387567739101,7.201313451000033,6.151926632249911,7.839936052500207,6.221547696044962,7.325812733461272
time_varying,graph_support_precision,20,0.2899591952165481,0.0754499385524009,0.3125,0.2375,0.350735294117647,0.2573682328700711,0.3199971416451194
time_varying,graph_support_recall,20,0.3321428571428571,0.1210298628939878,0.3571428571428571,0.2678571428571428,0.4285714285714285,0.2821428571428571,0.3821428571428571
time_varying,graph_support_f1,20,0.3073350202958264,0.0940909302225631,0.3333333333333333,0.25,0.3870967741935484,0.2673749834022768,0.3457457109532535
time_varying,graph_auroc,20,0.5359268707482994,0.0598787909966823,0.5365646258503401,0.5178571428571428,0.5790816326530612,0.5094802295918367,0.559779974489796
time_varying,graph_auprc,20,0.2980765464233785,0.0500325528249543,0.282760989010989,0.2576193647622219,0.3288874072356215,0.2772404242559801,0.3195437888085396
time_varying,graph_normalized_frobenius,20,1.0475713515112155,0.0678496651143178,1.0373936994802344,0.9988036017535056,1.084387198838851,1.0186994807188987,1.076759686294848
time_varying,graph_structural_hamming,20,20.4,2.1126187291456167,20.0,19.0,21.0,19.55,21.351249999999983
time_varying,graph_edge_weight_r,20,0.0581092285270934,0.1109985750491591,0.0571232320620478,-0.0081823528048321,0.1195162441985412,0.0102056740064334,0.1048391893212113
time_varying,rmse,20,0.0697809659593763,0.0129352940836353,0.0665770925698522,0.058877306610817,0.0737979748157808,0.0646157404810503,0.0753632073003329
time_varying,runtime_seconds,20,5.71209956495004,2.214582005258684,6.0763183010001285,3.674856358750276,6.931261685250092,4.795192827927516,6.659002957960047
