date,state,expected_cases,population,incidence_per_100k
2020-03-03,Niedersachsen,16.850369999999998,8003421.0,0.21053959300654054
2020-03-03,Nordrhein-Westfalen,85.675,17925570.0,0.47794853943277676
2020-03-03,Rheinland-Pfalz,11.3083,4098391.0,0.2759204770847877
2020-03-04,Baden-Württemberg,92.517,11103043.0,0.8332580536705118
2020-03-04,Bayern,90.001,13140183.0,0.6849295782258131
2020-03-04,Hessen,12.11667,6293154.0,0.1925373191248776
2020-03-04,Niedersachsen,30.441699999999997,8003421.0,0.3803585991540367
2020-03-04,Nordrhein-Westfalen,119.02470000000001,17925570.0,0.6639939483095936
2020-03-04,Rheinland-Pfalz,14.008370000000001,4098391.0,0.3418016973002332
2020-03-05,Baden-Württemberg,115.525,11103043.0,1.0404805241229813
2020-03-05,Bayern,104.367,13140183.0,0.7942583448038737
2020-03-05,Hessen,14.541699999999999,6293154.0,0.231071732870354
2020-03-05,Niedersachsen,28.725299999999997,8003421.0,0.35891276992676
2020-03-05,Nordrhein-Westfalen,133.65030000000002,17925570.0,0.7455846592325935
2020-03-05,Rheinland-Pfalz,18.5746,4098391.0,0.45321688438218805
2020-03-06,Baden-Württemberg,153.614,11103043.0,1.3835306230913453
2020-03-06,Bayern,165.965,13140183.0,1.2630341601787434
2020-03-06,Hessen,32.25,6293154.0,0.5124616368835087
2020-03-06,Niedersachsen,43.23303,8003421.0,0.5401818797236831
2020-03-06,Nordrhein-Westfalen,185.06499999999997,17925570.0,1.0324078955369338
2020-03-06,Rheinland-Pfalz,28.82467,4098391.0,0.7033167406428523
2020-03-07,Baden-Württemberg,178.2517,11103043.0,1.6054310516495343
2020-03-07,Bayern,211.34300000000002,13140183.0,1.6083718164351288
2020-03-07,Hessen,52.29963,6293154.0,0.8310559379287397
2020-03-07,Niedersachsen,59.842000000000006,8003421.0,0.7477052625371077
2020-03-07,Nordrhein-Westfalen,261.5183,17925570.0,1.4589120457536358
2020-03-07,Rheinland-Pfalz,47.616699999999994,4098391.0,1.1618388777449489
2020-03-08,Baden-Württemberg,271.95,11103043.0,2.449328530926161
2020-03-08,Bayern,247.847,13140183.0,1.8861761666485162
2020-03-08,Hessen,95.842,6293154.0,1.5229565334012167
2020-03-08,Niedersachsen,90.20830000000001,8003421.0,1.127121764555432
2020-03-08,Nordrhein-Westfalen,340.221,17925570.0,1.8979647509116866
2020-03-08,Rheinland-Pfalz,68.35833,4098391.0,1.6679309026395965
2020-03-09,Baden-Württemberg,469.236,11103043.0,4.226192765352706
2020-03-09,Bayern,412.72700000000003,13140183.0,3.1409532119910355
2020-03-09,Hessen,126.7887,6293154.0,2.0147083640413057
2020-03-09,Niedersachsen,122.475,8003421.0,1.5302831126839385
2020-03-09,Nordrhein-Westfalen,460.698,17925570.0,2.5700605336399343
2020-03-09,Rheinland-Pfalz,89.9417,4098391.0,2.1945612314686422
2020-03-10,Baden-Württemberg,576.8720000000001,11103043.0,5.195620696056028
2020-03-10,Bayern,527.52,13140183.0,4.014555961663548
2020-03-10,Hessen,165.85629999999998,6293154.0,2.635503596447822
2020-03-10,Niedersachsen,135.8827,8003421.0,1.697807724971609
2020-03-10,Nordrhein-Westfalen,598.077,17925570.0,3.3364462050579147
2020-03-10,Rheinland-Pfalz,118.217,4098391.0,2.884473443358625
2020-03-11,Baden-Württemberg,742.467,11103043.0,6.68705867391489
2020-03-11,Bayern,634.063,13140183.0,4.825374197604401
2020-03-11,Hessen,181.6037,6293154.0,2.8857342439101283
2020-03-11,Niedersachsen,203.704,8003421.0,2.5452116038878874
2020-03-11,Nordrhein-Westfalen,771.3050000000001,17925570.0,4.302819938222327
2020-03-11,Rheinland-Pfalz,158.4053,4098391.0,3.865060703090555
2020-03-12,Baden-Württemberg,788.26,11103043.0,7.099495156417929
2020-03-12,Bayern,758.3230000000001,13140183.0,5.7710231280645035
2020-03-12,Hessen,213.827,6293154.0,3.3977716102291473
2020-03-12,Niedersachsen,219.0883,8003421.0,2.73743315514703
2020-03-12,Nordrhein-Westfalen,792.9250000000001,17925570.0,4.42342977099194
2020-03-12,Rheinland-Pfalz,176.6587,4098391.0,4.310440365499534
2020-03-13,Baden-Württemberg,902.0029999999999,11103043.0,8.123926026405554
2020-03-13,Bayern,972.077,13140183.0,7.397743242997453
2020-03-13,Hessen,244.6687,6293154.0,3.887854961121244
2020-03-13,Niedersachsen,326.62000000000006,8003421.0,4.081004860296616
2020-03-13,Nordrhein-Westfalen,909.908,17925570.0,5.076033844391001
2020-03-13,Rheinland-Pfalz,201.5447,4098391.0,4.917654269687787
2020-03-14,Baden-Württemberg,863.8770000000001,11103043.0,7.780542685460193
2020-03-14,Bayern,1045.635,13140183.0,7.957537577673005
2020-03-14,Hessen,247.997,6293154.0,3.9407425910759533
2020-03-14,Niedersachsen,314.935,8003421.0,3.9350047935751475
2020-03-14,Nordrhein-Westfalen,965.255,17925570.0,5.384793900556579
2020-03-14,Rheinland-Pfalz,203.48829999999998,4098391.0,4.9650777585642745
2020-03-15,Baden-Württemberg,940.3620000000001,11103043.0,8.469407891152004
2020-03-15,Bayern,1191.478,13140183.0,9.067438406299212
2020-03-15,Hessen,247.922,6293154.0,3.939550819827387
2020-03-15,Niedersachsen,293.089,8003421.0,3.662046517358015
2020-03-15,Nordrhein-Westfalen,956.877,17925570.0,5.338056195702563
2020-03-15,Rheinland-Pfalz,199.4683,4098391.0,4.86699048480245
2020-03-16,Baden-Württemberg,1177.635,11103043.0,10.606416637312853
2020-03-16,Bayern,1627.81,13140183.0,12.388031430003677
2020-03-16,Hessen,315.39,6293154.0,5.0116364544710015
2020-03-16,Niedersachsen,360.68399999999997,8003421.0,4.506622855401459
2020-03-16,Nordrhein-Westfalen,1181.608,17925570.0,6.59174575759655
2020-03-16,Rheinland-Pfalz,256.573,4098391.0,6.260334848480781
2020-03-17,Baden-Württemberg,1030.433,11103043.0,9.280635948181052
2020-03-17,Bayern,1446.003,13140183.0,11.004435782971973
2020-03-17,Hessen,278.045,6293154.0,4.418213824101556
2020-03-17,Niedersachsen,328.32099999999997,8003421.0,4.102258271806519
2020-03-17,Nordrhein-Westfalen,950.1670000000001,17925570.0,5.300623634283318
2020-03-17,Rheinland-Pfalz,263.582,4098391.0,6.431353182261039
2020-03-18,Baden-Württemberg,1064.6,11103043.0,9.588362397587758
2020-03-18,Bayern,1469.5279999999998,13140183.0,11.183466775158305
2020-03-18,Hessen,244.115,6293154.0,3.8790565112501616
2020-03-18,Niedersachsen,326.15999999999997,8003421.0,4.075257318089352
2020-03-18,Nordrhein-Westfalen,1037.017,17925570.0,5.7851270559318335
