scenario,family,method,evaluation,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
delay_light,delay,Arrival interpolation,retrospective reconstruction,rmse,20,1.5639417171524044,0.877905983302492,1.298668357384236,1.0028700271168902,2.131476413591357,1.2400117809249969,1.9706992980314972
delay_light,delay,Arrival interpolation,retrospective reconstruction,mae,20,0.32133378064314083,0.09579913712898426,0.3064928141129155,0.24650405524626412,0.372245110668923,0.28278408138861816,0.36263550355579216
delay_light,delay,Arrival interpolation,retrospective reconstruction,r2,20,-19.153012729435243,27.40013620511328,-9.701203144916072,-27.809954042543716,-5.378221141038606,-32.351318333270285,-10.248730043422306
delay_light,delay,Arrival interpolation,retrospective reconstruction,pearson_r,20,0.2941583548892951,0.13557952136690213,0.3144955532098879,0.19367196198242448,0.3714051137543465,0.2359715799639014,0.35179233152359884
delay_light,delay,Arrival interpolation,retrospective reconstruction,runtime_seconds,20,0.01895680084996906,0.007840202537381151,0.01644424500000235,0.01566895750022465,0.024125700499894223,0.01573821944619107,0.022476551456165852
delay_light,delay,Arrival interpolation,retrospective reconstruction,peak_memory_mb,20,0.3388671875,0.6621766893471727,0.0,0.0,0.25,0.0875,0.6478857421874995
delay_light,delay,Delay backprojection,retrospective reconstruction,rmse,20,1.280649968384223,0.683006113882052,1.0188031173087848,0.8373582512744056,1.6468606908299028,1.0248221291199815,1.59408861702034
delay_light,delay,Delay backprojection,retrospective reconstruction,mae,20,0.35004512540172544,0.09523657905368169,0.3528691507515098,0.2700971378699569,0.41901737549985185,0.31109291540369277,0.3917427301841231
delay_light,delay,Delay backprojection,retrospective reconstruction,r2,20,-12.21026472667823,16.034430146705542,-5.597749726291013,-16.25332906281502,-3.4561134039575205,-19.817690118636275,-6.677590081615745
delay_light,delay,Delay backprojection,retrospective reconstruction,pearson_r,20,0.3465464259096165,0.1554374404352461,0.37415274352868266,0.20479817584664825,0.44009863073078664,0.27855056507500875,0.41264912566946466
delay_light,delay,Delay backprojection,retrospective reconstruction,runtime_seconds,20,0.10799651560000707,0.040590781867000846,0.09901069700003964,0.09375220725019058,0.1316370374998996,0.09100152354254643,0.12499485643995678
delay_light,delay,Delay backprojection,retrospective reconstruction,peak_memory_mb,20,0.175,0.3961160117148032,0.0,0.0,0.0,0.025,0.35625
delay_light,delay,Delay-aware state-space (internal),retrospective reconstruction,rmse,20,0.7874931193418125,0.3300511331463031,0.6273520248701614,0.5593233256445216,1.0090763863587129,0.6530942589441691,0.9314606638129591
delay_light,delay,Delay-aware state-space (internal),retrospective reconstruction,mae,20,0.3532333472325645,0.09209226941771431,0.35099748084282045,0.27957872958593805,0.40956334079320256,0.31544592685928013,0.3935678508311056
delay_light,delay,Delay-aware state-space (internal),retrospective reconstruction,r2,20,-3.588713321151649,3.8768065574013346,-1.4960417382217757,-5.476053511663624,-0.9846116307894637,-5.317518096109207,-2.0791775934444763
delay_light,delay,Delay-aware state-space (internal),retrospective reconstruction,pearson_r,20,0.4820811431445974,0.18568867328658045,0.5100150227478359,0.38748378961803975,0.6194132250145361,0.39969983332287157,0.5595365309677459
delay_light,delay,Delay-aware state-space (internal),retrospective reconstruction,runtime_seconds,20,0.10121040789999822,0.041332905571566506,0.1015260039998793,0.08446736674966353,0.13200329374990355,0.08362724444499174,0.11905548842497635
delay_light,delay,Delay-aware state-space (internal),retrospective reconstruction,peak_memory_mb,20,0.0884765625,0.23702678507204897,0.0,0.0,0.0,0.0072265625,0.2072265625
