scenario,family,seed,method,evaluation,mse,rmse,mae,median_ae,max_ae,nrmse_range,nrmse_std,nmae_mean,mape,smape,r2,pearson_r,spearman_rho,bias,runtime_seconds,peak_memory_mb,iterations,converged,learned_density,maximum_row_sum,objective_nonincreasing,reference_frobenius,reference_normalized_frobenius,reference_support_precision,reference_support_recall,reference_support_f1,reference_auroc,reference_auprc,reference_structural_hamming,reference_edge_weight_r,reference_density_true,reference_density_pred,reference_density_abs_error,delay_mae,delay_rmse,delay_bias,delay_exact_accuracy,delay_within_one_accuracy,delay_true_posterior_mass,delay_posterior_entropy
delay_light,delay,1101,Arrival interpolation,retrospective reconstruction,5.421342383374799,2.3283776290315963,0.3584699649374583,0.0428276200874999,32.95072263848561,1.402893680696087,5.863269495958647,0.1311663737336143,0.1342580744981622,0.0882246723402839,-33.37792918223917,0.1945528609478699,0.9170405376629668,0.2099690695052266,0.018405672999961,1.875,1,True,0.8055555555555556,2.5,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1102,Arrival interpolation,retrospective reconstruction,4.613603986038803,2.147930163212669,0.4636891170978822,0.0401679424000001,24.997584837651797,1.2941705052375234,5.408870643827775,0.1696667112405964,0.18773765887086,0.1158395731902995,-28.255881641661897,0.0411096629883116,0.7630523731584009,0.2736839073365034,0.0396197649997702,0.0,1,True,0.7777777777777778,2.5,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1103,Arrival interpolation,retrospective reconstruction,0.5685702367389676,0.7540359651495196,0.2319882841636582,0.0403560383750001,7.218151593295165,0.4543216174799802,1.8987968352692504,0.0848859457102332,0.0880686574911502,0.1117047736447885,-2.605429421628521,0.4761121262445232,0.8545243527739739,-0.0246149468538811,0.0176289490000272,1.77734375,1,True,0.8333333333333334,2.5,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1104,Arrival interpolation,retrospective reconstruction,5.687273839692268,2.3848005869867333,0.3740709576532148,0.0449860129958334,38.0715596819531,1.4368896314278266,6.005352551613028,0.1368748733049168,0.1337317335925563,0.0757723972127294,-35.06425926916511,0.1910292650860883,0.8535978123662509,0.2594992335231749,0.0142707770000924,1.75,1,True,0.8333333333333334,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1105,Arrival interpolation,retrospective reconstruction,0.5159004290197408,0.7182620893655329,0.1791293610173664,0.0331784987250001,7.174657537032751,0.4327671481165912,1.808711845609003,0.0655445393255378,0.066366642322246,0.0637057039607957,-2.2714385404463258,0.4932474457465589,0.9004204959773183,0.0610525552783282,0.0159632110003258,0.0,1,True,0.7777777777777778,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1106,Arrival interpolation,retrospective reconstruction,1.4623816744399605,1.2092897396571098,0.2874781831274661,0.0278556804124998,12.77073591883259,0.7286210418544414,3.045206908836474,0.105190042392914,0.1000127281256652,0.0942800557755628,-8.273285117625393,0.3710074394111933,0.8863025495819656,0.1023152704780222,0.0161838369999713,0.0,1,True,0.8055555555555556,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1107,Arrival interpolation,retrospective reconstruction,1.110208850383042,1.0536644866289469,0.2485908470057095,0.0339802671124997,10.851360355950954,0.6348537416932798,2.653314808730537,0.0909609259754732,0.0890794008309823,0.0783689393810314,-6.040079474228768,0.3670497158870882,0.8819231978457218,0.1033007618197026,0.0166075560000535,0.0,1,True,0.8333333333333334,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1108,Arrival interpolation,retrospective reconstruction,0.9736792630946672,0.9867518751411964,0.2181799538331778,0.0400696801749997,13.490662546532306,0.5945375667547326,2.484816937535033,0.0798333923754483,0.0813956451165216,0.0837211651695765,-5.17431521306098,0.3028926653923785,0.8370479639416367,0.0218451676687318,0.0161769679998542,0.0,1,True,0.8055555555555556,2.5,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1109,Arrival interpolation,retrospective reconstruction,0.6152826413074093,0.7843995418837324,0.2143707237852523,0.031053330866996,8.767125317957822,0.472616274408751,1.9752577284826744,0.0784395715788003,0.080386153016819,0.0940406615120513,-2.901643093930534,0.5112169069216405,0.9053505797195311,0.016372807538262,0.031634626000141,0.25,1,True,0.6944444444444444,2.5,,,,,,,,,,,,,,,,,,,,
delay_light,delay,1110,Arrival interpolation,retrospective reconstruction,2.412666469388597,1.5532760441687747,0.3208367598535454,0.0284894221000002,21.662700874402617,0.935879609720911,3.911425678989165,0.117396151607218,0.1197159103273797,0.0743315364052726,-14.299250842255852,0.2055218323995706,0.849007992838911,0.212045493092154,0.0162809339999512,0.0,1,True,0.7222222222222222,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
