candidate,seed,mse,rmse,mae,median_ae,max_ae,nrmse_range,nrmse_std,nmae_mean,mape,smape,r2,pearson_r,spearman_rho,bias,runtime_seconds,iterations,final_normalized_objective,objective_nonincreasing
C13_fast_dynamics,1101,0.6339431657359347,0.7962054795942657,0.4312139655366455,0.21782548860063167,4.116946669883502,0.29961827156521964,1.2648368403076036,0.16035249614970287,0.16677350723227546,0.1442518914154006,-0.5998122325993223,0.614678717575757,0.7241631445347825,0.09085024093786372,2.141467096999804,8,0.48215907937094493,True
C13_fast_dynamics,1102,0.0685588795470846,0.261837505997679,0.19775363067781648,0.15930781010786932,1.035161050913139,0.09853147584207789,0.41595006847841937,0.07353724794694648,0.07709126837444309,0.07807219916124039,0.8269855405327983,0.9191611715390566,0.8167232780743443,-0.07391940832352083,1.9846651849998125,8,0.2894435454300157,True
C13_fast_dynamics,1103,0.25661531404718974,0.5065721212692125,0.3321721444647115,0.2093233373936182,2.3325392515834085,0.1906270018075638,0.8047308109215447,0.1235225126580221,0.12172721718196321,0.11620776447111007,0.352408321953553,0.774895972889785,0.760465232022275,0.02604046417104715,1.9776022900000498,8,0.3123063534364083,True
C13_fast_dynamics,1104,0.1561157884094628,0.3951149053243408,0.3053475960750199,0.24530901724086562,1.997080852925978,0.14868479059358009,0.6276720032918452,0.11354745703332202,0.12490736290730253,0.12306912014844863,0.6060278562836019,0.8221254970779489,0.7868895220328208,-0.11539921032687234,1.8182220620001317,8,0.3466242049145956,True
C13_fast_dynamics,1105,0.2335800366934142,0.48330118631492536,0.3388518390318089,0.24051704305528765,2.7936499562998574,0.1818699692482511,0.7677630474572901,0.1260064435669357,0.13026484653557308,0.147749191842336,0.4105399029590949,0.8252550548075032,0.7773177681892991,-0.2514411126638845,1.7769290219998766,8,0.33958359689345685,True
C14_combined_tempered,1101,0.6918755489654164,0.8317905679709384,0.4248904765183548,0.19351927842209138,4.182886853988306,0.3130092151673002,1.3213666330532572,0.15800102488602003,0.1639561580771084,0.1359107168644677,-0.7460097789465012,0.6088392788422416,0.7296683596653912,0.1561312461753275,2.000672178000059,8,0.3620698015685776,True
C14_combined_tempered,1102,0.05666863099209817,0.238051740157677,0.1663674532417612,0.12529989882842096,1.0163040411288526,0.0895807084441091,0.37816445448754904,0.06186589150048824,0.06559010724840644,0.06488108947404272,0.8569916453621345,0.9285398306550099,0.8193814162679685,-0.024087535922772164,1.8649414520000391,8,0.21013308705807499,True
C14_combined_tempered,1103,0.2714113057976723,0.5209715019054999,0.3186267271182214,0.17079157758473018,2.492751404797923,0.19604559995643944,0.8276053923872102,0.11848547384088622,0.1172274423241206,0.10881690163565708,0.3150693144916118,0.7796737622814294,0.7772463627685281,0.08405932741010012,1.8457523480001328,8,0.22868181810994037,True
C14_combined_tempered,1104,0.12711668438083573,0.3565342681718487,0.2527675129895786,0.18640360259076139,2.0853394304412927,0.13416659885065826,0.5663835388895667,0.0939948723668758,0.10678435386267565,0.10238793878919918,0.6792096868749307,0.8447925265825108,0.8094733428926149,-0.06905433988667674,1.79820076399983,8,0.2537920273504103,True
C14_combined_tempered,1105,0.19695496894844705,0.44379608937939846,0.29140971783290914,0.18309701170895165,2.722336431980808,0.16700389614879102,0.7050060038742189,0.10836447655083307,0.11218380655799368,0.12629785741459837,0.5029665345013048,0.8395940739199925,0.7878404994266501,-0.20482309471101606,1.7616990809997333,8,0.2554547551885418,True
