scenario,family,seed,method,evaluation,mse,rmse,mae,median_ae,max_ae,nrmse_range,nrmse_std,nmae_mean,mape,smape,r2,pearson_r,spearman_rho,bias,runtime_seconds,peak_memory_mb,n_nowcast_days
reference_moderate,main,1101,Arrival interpolation,causal rolling nowcasting,7.6011264953904245,2.7570140542605914,0.4599245839981838,0.08470555594999984,32.79512687158561,1.6611556244513275,6.942652344155486,0.16828924533330974,0.16823892434797025,0.10144758214036448,-47.200421571807674,0.19523153664295145,0.8759135044056853,0.29911222577915075,0.6954209660011657,1.125,73
reference_moderate,main,1102,Arrival interpolation,causal rolling nowcasting,3.8294502754579494,1.9568981259784448,0.4345294581349172,0.08761140792499988,24.953009249351794,1.1790699156661246,4.927817956024674,0.15899701196426153,0.1707492792551762,0.12139107803855961,-23.283389807719196,0.07900760182761285,0.766880886815889,0.20196279962948288,0.37430127799689217,0.0,73
reference_moderate,main,1103,Arrival interpolation,causal rolling nowcasting,0.8089176446791031,0.8993984904807786,0.32235203636181403,0.08664946149999997,6.489541618865918,0.5419054207490678,2.264845559498219,0.11795060063847235,0.12372570074960342,0.13911336355718118,-4.129525408378801,0.37379970593517975,0.801626371501283,0.05106296107537086,0.6024174049989597,0.0,73
reference_moderate,main,1104,Arrival interpolation,causal rolling nowcasting,3.944764539775169,1.9861431317443285,0.429393537451669,0.08913851794999994,25.643439795168234,1.1966906114112315,5.001462088350219,0.1571177468717937,0.15639696825044277,0.11098382277480075,-24.01462302120453,0.19289968354959083,0.8253246269673793,0.24835677517095775,0.6343443199975809,0.0,73
reference_moderate,main,1105,Arrival interpolation,causal rolling nowcasting,0.7768230827533378,0.8813756762886855,0.2572274117932484,0.08295085506666666,7.1746575370327506,0.531046317902867,2.21946090394826,0.09412109836228544,0.0934816659296992,0.08215207065079966,-3.926006704154827,0.4309269560710105,0.8707363526793959,0.12591735509908522,0.37050615900125194,0.0,73
reference_moderate,main,1106,Arrival interpolation,causal rolling nowcasting,2.045035425768569,1.4300473508833786,0.2761811267596175,0.07875015097499993,20.577418451188315,0.8616318790542922,3.601113885335824,0.10105637970824957,0.09722141566884361,0.08148358043083528,-11.968021215158474,0.30279754365677364,0.8797076091210108,0.11627250873411978,0.3943558050004867,0.0,73
reference_moderate,main,1107,Arrival interpolation,causal rolling nowcasting,1.3248019659346735,1.1510004196066452,0.2857054538964735,0.07993523617499987,10.901528246550953,0.6935005709603453,2.898424021073459,0.10454138982063658,0.10763051553713958,0.08766775328404566,-7.400861805935641,0.2873788817658426,0.8387600095766602,0.1369993957835279,0.6348048529985135,0.0,73
reference_moderate,main,1108,Arrival interpolation,causal rolling nowcasting,1.5445046071319186,1.2427809972525001,0.27053848941139336,0.08314478832499983,13.636330485532305,0.74880018850716,3.1295438594203953,0.09899170385907614,0.09979275545067992,0.09393869131698929,-8.794044768035903,0.24903924194148028,0.8479403591254159,0.06959713047970624,0.6032799919998979,0.0,73
reference_moderate,main,1109,Arrival interpolation,causal rolling nowcasting,0.4327110480878623,0.6578077592183467,0.21772258736664837,0.08351252277499999,8.767125317957822,0.3963422157187153,1.6564770768880739,0.0796660391610933,0.08275144081729904,0.09708105404836034,-1.7439163062556577,0.5540411831607689,0.8948980662079408,0.02238306378284693,0.6568287439990854,0.0,73
reference_moderate,main,1110,Arrival interpolation,causal rolling nowcasting,3.140161260380668,1.772050016331556,0.41141806930611957,0.07447685347499977,19.289455397952164,1.0676952650601175,4.462337499089948,0.1505404120782715,0.15008495023090115,0.09292321755508794,-18.912455955784328,0.19448099249439166,0.8433126129831181,0.26680929177853613,0.328351980998832,0.0,73
