scenario,family,seed,method,evaluation,mse,rmse,mae,median_ae,max_ae,nrmse_range,nrmse_std,nmae_mean,mape,smape,r2,pearson_r,spearman_rho,bias,runtime_seconds,peak_memory_mb,iterations,converged,learned_density,maximum_row_sum,objective_nonincreasing,reference_frobenius,reference_normalized_frobenius,reference_support_precision,reference_support_recall,reference_support_f1,reference_auroc,reference_auprc,reference_structural_hamming,reference_edge_weight_r,reference_density_true,reference_density_pred,reference_density_abs_error,delay_mae,delay_rmse,delay_bias,delay_exact_accuracy,delay_within_one_accuracy,delay_true_posterior_mass,delay_posterior_entropy
reference_moderate,main,1101,Arrival interpolation,retrospective reconstruction,6.03603765335412,2.456834885244452,0.4256722794745447,0.07471119070833332,32.742106339785614,1.48029172418078,6.186747742140148,0.15575611559908206,0.15670509563476628,0.10088588786405507,-37.275847624876214,0.21072820384602886,0.8905257809253384,0.26079670747707534,0.009128239999881771,0.75,1,True,0.8055555555555556,2.500000000000001,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1102,Arrival interpolation,retrospective reconstruction,5.23514312064912,2.28804351371409,0.5619608455531685,0.07436500322500006,24.953009249351794,1.378591576608731,5.761701011087929,0.2056249435133148,0.220756897143354,0.14738083700548615,-32.19719854117167,0.03728417010781126,0.7006872706236879,0.2876929220976963,0.009749929000008706,0.75,1,True,0.7777777777777778,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1103,Arrival interpolation,retrospective reconstruction,0.5577910104449841,0.7468540757370105,0.2746812515197146,0.07390238281250006,6.409389971565918,0.44999438673070613,1.880711558812945,0.10050756609619363,0.10525692773962311,0.12270031886643717,-2.5370759674526173,0.4469969400532732,0.8092707977013082,0.02477281536900842,0.008593972999733523,0.5,1,True,0.75,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1104,Arrival interpolation,retrospective reconstruction,4.177982251812078,2.0440113140127374,0.45148725273599943,0.0708313556500002,25.643439795168234,1.2315573384427418,5.1471844761838685,0.16520197372369785,0.16068841803681436,0.11103844471521197,-25.493508031868206,0.22134822987745678,0.8222789825167595,0.2755192626380483,0.009582418999798392,0.5,1,True,0.8333333333333334,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1105,Arrival interpolation,retrospective reconstruction,0.5268064207821012,0.7258143156359629,0.2260521966863951,0.07511555045000007,7.1746575370327506,0.43731751416455045,1.8277296962213225,0.08271389464678096,0.08258219509655523,0.07699039815908078,-2.340595842449288,0.4959849724184972,0.8706446254270959,0.10178602102658298,0.005041739000262169,0.0,1,True,0.75,2.500000000000001,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1106,Arrival interpolation,retrospective reconstruction,2.037287878683212,1.4273359375715347,0.2761505170219576,0.06831989312499998,20.577418451188315,0.8599981987811642,3.5942860637814302,0.10104517941622375,0.09675030204118153,0.08290608849044184,-11.918892308293406,0.3040553691364682,0.8649432024713456,0.10785107838123494,0.005253336999885505,0.0,1,True,0.75,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1107,Arrival interpolation,retrospective reconstruction,1.3484421559967619,1.1612244210301306,0.28973076444539986,0.06608104817500005,10.901528246550953,0.6996607345049508,2.9241698772977744,0.1060142758069045,0.1069901643205018,0.08840401195791904,-7.5507694712956805,0.2914474070371005,0.8190730169559115,0.1320996531073764,0.005339669000022695,0.0,1,True,0.8055555555555556,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1108,Arrival interpolation,retrospective reconstruction,0.9927995640819616,0.9963932778185336,0.26066765831798666,0.07379036809166672,13.505306196832304,0.6003467030049844,2.5090957063702226,0.0953799058093147,0.09737915950616652,0.10499687902492713,-5.295561263725488,0.30006265128309156,0.8112855180192191,0.023118569818849473,0.005671526999776688,0.0,1,True,0.8055555555555556,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1109,Arrival interpolation,retrospective reconstruction,0.48117000018796324,0.6936641840169948,0.23912236283453678,0.07062898519999972,8.767125317957822,0.4179464224999407,1.746769939667162,0.08749634914906175,0.09059337768305592,0.10747039350036934,-2.051205222124821,0.5405506730131021,0.875453028640635,0.005014600201002446,0.005790248000266729,0.0,1,True,0.6388888888888888,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1110,Arrival interpolation,retrospective reconstruction,2.730956596458951,1.6525606180890766,0.4119053526360537,0.06520958587499992,19.289455397952164,0.9957005337869637,4.1614419162299745,0.1507187120576839,0.14836024176289483,0.09983366493412794,-16.3175988221558,0.21591007267141632,0.811309722575969,0.24934239910202619,0.0053713550000793475,0.0,1,True,0.8055555555555556,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1111,Arrival interpolation,retrospective reconstruction,0.8240907284942729,0.9077944307464509,0.28789530335059965,0.07083024678333327,7.459143288140101,0.546964141205471,2.285988032195005,0.10534266925828871,0.11340137679877908,0.11723693958404034,-4.225741283338792,0.34611013458596196,0.8035304997021534,0.04422198680464741,0.007879251999838743,0.0,1,True,0.6944444444444444,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1112,Arrival interpolation,retrospective reconstruction,1.5373204557405524,1.2398872754168229,0.3110162222372042,0.07122591327499994,16.76480007365126,0.7470566637342252,3.122256952538382,0.11380275625127866,0.11793845255339029,0.12215687228778029,-8.748488477674265,0.35597302673637055,0.8667547364679057,0.049897076406865394,0.031523363000360405,0.125,1,True,0.8055555555555556,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1113,Arrival interpolation,retrospective reconstruction,4.472908204442021,2.1149251061070746,0.41146870775724403,0.08130455515833335,27.853445534093584,1.2742843040186476,5.325758032657357,0.15055894100023193,0.1442680135231116,0.10884159988443222,-27.363698622414365,0.2735188610413508,0.8551761214732102,0.22178405281080468,0.005240855000010924,0.0,1,True,0.6388888888888888,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1114,Arrival interpolation,retrospective reconstruction,1.0332459487604164,1.0164870627609661,0.3088758065908741,0.0744240140125001,11.011245950985414,0.6124536067844754,2.559695435057841,0.11301956494915438,0.12093833806115177,0.10434170290203518,-5.552040720255949,0.3526428337192867,0.8360348752793881,0.13939339037742782,0.005623270000342018,0.0,1,True,0.7777777777777778,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1115,Arrival interpolation,retrospective reconstruction,3.790963124073644,1.9470395794830786,0.43077861946368745,0.07756356417499988,26.927703885010068,1.1731299459607165,4.902992380387782,0.15762455693291502,0.1617365607730253,0.1194277801012845,-23.03933428214065,0.24674889529552177,0.8618171882440279,0.24750487124375475,0.0053803000000698376,0.0,1,True,0.8055555555555556,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1116,Arrival interpolation,retrospective reconstruction,2.0895143229141184,1.445515244787864,0.3691144915920158,0.07436518366249989,19.83499117743665,0.8709515917768823,3.640064796633926,0.13506127176679458,0.14408211608380472,0.14184342513887713,-12.250071723693583,0.18310348304197835,0.7912251433351964,0.05921190948114649,0.008297491000121227,0.0,1,True,0.6388888888888888,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1117,Arrival interpolation,retrospective reconstruction,2.1946528683342166,1.4814360831079472,0.43653572859679096,0.083062370725,17.523469033318875,0.8925946089817459,3.730519864130431,0.15973111871504259,0.16272438699103572,0.1686244234055241,-12.91677845667173,0.1271351917859452,0.6498192089734953,0.03682661089484697,0.03191743100023814,0.0,1,True,0.8055555555555556,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1118,Arrival interpolation,retrospective reconstruction,1.3560731776195627,1.1645055507036293,0.37783297449583864,0.07734522907499986,10.70761610834587,0.7016376801803867,2.9324323461031074,0.13825141849820197,0.1349084951075761,0.13905748924198338,-7.599159464471775,0.3748775720513214,0.8037936013847935,0.07600049437653329,0.00838555800009999,0.0,1,True,0.8333333333333334,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1119,Arrival interpolation,retrospective reconstruction,0.515815269559447,0.7182028053129889,0.2847641112038625,0.08423136791666685,4.3239440883867815,0.43273142829964956,1.808562557807684,0.10419694671659031,0.10482290584499641,0.1270627379131318,-2.2708985255038723,0.4698712651814626,0.7655305336692898,-0.02958987749390786,0.0059823530000358005,0.5,1,True,0.8055555555555556,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1120,Arrival interpolation,retrospective reconstruction,0.8740208178272304,0.9348908052961215,0.279113751559846,0.0723274936249998,10.324575975258673,0.5632902440470093,2.3542215285004264,0.10212944523170103,0.10405573772968488,0.10727971155624107,-4.542359005254885,0.38450057004566585,0.8336612154058674,0.05383077954533067,0.005441101999622333,0.0,1,True,0.7777777777777778,2.5000000000000004,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1101,Delay backprojection,retrospective reconstruction,3.3225370722309946,1.8227827825144154,0.4153739040389443,0.07403942751810932,27.87237756005986,1.0982627624431631,4.5900916385803185,0.15198787643441256,0.16159209221451348,0.12390573647990243,-20.06894125056495,0.23291088668525514,0.8222262280702304,0.19187769591491058,0.0548904180000136,0.0,1,True,0.6388888888888888,1.7674300004600687,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1102,Delay backprojection,retrospective reconstruction,3.2106052516673382,1.791816188024692,0.5735522049459759,0.08574183465666652,15.913354233038334,1.0796047753620985,4.512112239276077,0.20986629349214186,0.2285985570216468,0.16659129769737066,-19.359156859824978,0.040983794999130053,0.6145363423982347,0.26392309163952105,0.06185381099976439,0.0,1,True,0.5833333333333334,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1103,Delay backprojection,retrospective reconstruction,0.48370954121468873,0.6954923013338744,0.304764380557364,0.08287033941437683,3.8624376510875504,0.419047899425094,1.7513734646132217,0.11151516877531152,0.11692171107750009,0.1508048875052681,-2.0673090125513194,0.4965612375313254,0.7757960045839982,-0.06391965151413631,0.03936899900008939,0.0,1,True,0.5833333333333334,1.698703217876363,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1104,Delay backprojection,retrospective reconstruction,2.829846666855694,1.6822148099620613,0.47068996646742295,0.08706413319985729,14.947317047461581,1.0135677722735583,4.236116452039052,0.17222836525537039,0.1674432702889933,0.11405027269259602,-16.94468259523593,0.294212867370474,0.7702491810599742,0.3020306224251276,0.057539532000191684,0.0,1,True,0.7222222222222222,2.5,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1105,Delay backprojection,retrospective reconstruction,0.32299187277491737,0.568323739408198,0.2422162377478203,0.0769785694671219,4.964515337958634,0.34242631979630284,1.4311403801311904,0.08862841708460442,0.08626909242619415,0.08549619819580796,-1.0481627876420485,0.5861372297245193,0.8046291999738927,0.06327148090695352,0.020627082999908453,0.0,1,True,0.4722222222222222,2.0162203183226954,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1106,Delay backprojection,retrospective reconstruction,0.6762318351525839,0.8223331655433727,0.3057348548739637,0.07353227344266644,6.9859656470753855,0.4954720346834047,2.0707813478911157,0.11187027132046393,0.10649598129710165,0.11570383764593761,-3.2881353907737463,0.4984351900071414,0.8156762150029703,0.03376514125245479,0.03640651699970476,0.0,1,True,0.7222222222222222,1.7482154729823656,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1107,Delay backprojection,retrospective reconstruction,0.6399970258558147,0.7999981411577246,0.31055869637546557,0.07361100309083801,5.026189623003294,0.4820147397076534,2.0145377791765644,0.11363534471323229,0.11286085673328654,0.10875919150554071,-3.0583624637296456,0.403412809316982,0.7548426508020074,0.09316362028164438,0.020666518999860273,0.0,1,True,0.6666666666666666,2.4802847689547587,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1108,Delay backprojection,retrospective reconstruction,0.4670403267905482,0.6834034875463749,0.26807558402280734,0.07799329634428842,4.936145829026453,0.41176414946197126,1.7209316787796882,0.09809051156887641,0.09807334738511637,0.12371389230382085,-1.9616058430274763,0.389194380210959,0.7293737339649915,-0.07245096855422944,0.021235443000023224,0.0,1,True,0.5833333333333334,2.0339915706676877,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1109,Delay backprojection,retrospective reconstruction,0.28843297582884586,0.5370595645073699,0.2527874352657844,0.0794034233780807,2.735427734441637,0.32358903461812877,1.3524116203601293,0.0924964835338955,0.09609382682544941,0.12167636475231984,-0.8290171908851109,0.6647377197337927,0.8613089338074008,-0.04773005457565833,0.025101138000081846,0.0,1,True,0.4166666666666667,1.7503600188438078,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1110,Delay backprojection,retrospective reconstruction,0.8744483309934524,0.9351194207123775,0.36519017523506503,0.07103352429815146,7.421022410544856,0.5634279893675176,2.35479722282927,0.13362534017901276,0.1306823581368737,0.10842649100688079,-4.545069960644444,0.3497745932145285,0.7340202370897103,0.19963767053215042,0.022112124000159383,0.0,1,True,0.6388888888888888,1.7814346997572654,,,,,,,,,,,,,,,,,,,,
reference_moderate,main,1111,Delay backprojection,retrospective reconstruction,0.6370359156804328,0.7981452973490684,0.35444619511806713,0.08815842425720377,5.500186831475022,0.4808983645810114,2.009871988521039,0.12969405150979738,0.13981617112457376,0.15891911493497304,-3.039585410241516,0.46910986277783484,0.7268141454055509,-0.02228973658476312,0.03801308899983269,0.0,1,True,0.6111111111111112,2.17539275992296,,,,,,,,,,,,,,,,,,,,
